POIS_ID;GRUPA;PODGRUPA;NAZWA;ADRES;KOD_POCZTO;STATUS_PUB;L_DZIECI_U;L_ODDZIALO;TYP
16162;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 5;Jelenia 7;54-242;publiczna;367;17;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15677;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 50;Czeska 38;51-112;publiczna;1117;44;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16039;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 51         Jana Paw┼éa II;Kr─Öpicka 50;54-018;publiczna;852;39;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16006;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 53;Strachoci┼äska 155-157;51-518;publiczna;531;24;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16026;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 58    Wandy Rutkiewicz;Sk┼éadowa 2-4;50-209;publiczna;377;32;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16163;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 6;Gorlicka 25;51-314;publiczna;331;13;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16008;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 61         Janusza Korczaka;Skarbowc├│w 8;53-025;publiczna;397;18;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15725;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 63 Anny Jasi┼äskiej;Mennicza 21-23;50-057;publiczna;426;19;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15998;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 64 W┼éadys┼éawa Broniewskiego;Wojszycka 1;53-006;publiczna;623;27;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16050;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 65                   Profesor Marii Zduniak;K┼éodnicka 36;54-218;publiczna;448;22;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16254;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 66;Dembowskiego 39;51-670;publiczna;461;19;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15896;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 67 im. Kawaler├│w Orderu U┼Ťmiechu;pl. Muzealny 20;50-035;publiczna;334;16;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16028;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 68 im. II Tysi─ůclecia Wroc┼éawia;Szcz─Ö┼Ťliwa 28;53-446;publiczna;506;23;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
17913;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 7;al. Br├╝cknera 12;51-410;publiczna;169;10;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15723;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 71;Podwale 57;50-039;publiczna;604;27;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16074;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 73                  Genera┼éa W┼éadys┼éawa Andersa;Gliniana 30;50-525;publiczna;258;28;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15833;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 74 im. Prymasa Tysi─ůclecia;Kleczkowska 2;50-227;publiczna;420;21;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16053;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 75  im. Henryka Sienkiewicza;Ignuta 28;54-151;publiczna;427;28;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15757;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 76           I Armii Wojska Polskiego;Wandy 13;53-320;publiczna;575;25;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16157;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 77;┼Ťw. Jerzego 4;50-518;publiczna;502;22;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16057;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 78      Miko┼éaja Kopernika;Jedno┼Ťci Narodowej 195;50-303;publiczna;327;16;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15722;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 8 im. J├│zefa Pi┼ésudskiego;Kowalska 105;51-424;publiczna;283;17;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15706;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 80    Tysi─ůclecia Wroc┼éawia;Polna 4;52-120;publiczna;924;42;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16156;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 81;Jastrz─Öbia 26;53-148;publiczna;543;22;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16113;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 82 im. Budowniczych Wroc┼éawia;Blacharska 13;53-206;publiczna;459;24;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16060;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 83        Jana Kasprowicza;al. Boya-┼╗ele┼äskiego 32;51-160;publiczna;711;30;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15736;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 84  Ruchu Obro┼äc├│w Pokoju;G├│rnickiego 20;50-337;publiczna;731;30;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16073;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 9     Wincentego Pola;Nyska 66;50-505;publiczna;527;24;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16096;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 90   Prof. Stanis┼éawa To┼épy;Orzechowa 62;50-540;publiczna;777;33;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
18073;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 91;Sempo┼éowskiej 54;51-661;publiczna;616;29;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15716;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 93             Tradycji Or┼éa Bia┼éego;Niemcewicza 29-31;50-238;publiczna;213;11;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16117;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 95    Jaros┼éawa Iwaszkiewicza;Starogajowa 66-68;54-047;publiczna;581;25;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15730;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 96   Leonida Teligi;Krakowska 2;50-425;publiczna;279;18;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16155;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 97               Jana Brzechwy;Prosta 16;53-509;publiczna;372;15;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15797;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 98 im. Piast├│w Wroc┼éawskich;Sycowska 22a;51-319;publiczna;507;24;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15818;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 99   Tadeusza Ko┼Ťciuszki;G┼éubczycka 3;52-026;publiczna;547;25;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
